word,group,count,diff,label
할인,noun_high_freq,3348.0,,프로모션
식품,noun_high_freq,2314.0,,카테고리
최대,noun_high_freq,1633.0,,프로모션
화장품/미용,noun_high_freq,1587.0,,카테고리
선물,noun_high_freq,1506.0,,제품설명
혜택,noun_high_freq,1192.0,,프로모션
증정,noun_high_freq,1137.0,,프로모션
초특,noun_high_freq,1084.0,,프로모션
여름,noun_high_freq,1067.0,,시즌
신상,noun_high_freq,1060.0,,홍보단어
특집,noun_high_freq,976.0,,프로모션
세트,noun_high_freq,939.0,,제품설명
이벤트,noun_high_freq,936.0,,프로모션
쿠폰,noun_high_freq,902.0,,프로모션
마지막,noun_high_freq,804.0,,프로모션
앵콜,noun_high_freq,759.0,,프로모션
추석,noun_high_freq,743.0,,시즌
맞이,noun_high_freq,686.0,,시즌
아이,noun_high_freq,682.0,,제품설명
가구/인테리어,noun_high_freq,648.0,,카테고리
무료,noun_high_freq,565.0,,프로모션
기념,noun_high_freq,562.0,,프로모션
특별,noun_high_freq,555.0,,프로모션
준비,noun_high_freq,532.0,,제품설명
가을,noun_high_freq,501.0,,시즌
배송,noun_high_freq,484.0,,제품설명
패션잡화,noun_high_freq,474.0,,카테고리
필수,noun_high_freq,468.0,,제품설명
겨울,noun_high_freq,468.0,,시즌
케어,noun_high_freq,466.0,,제품설명
할인,noun_low_freq,3896.0,,프로모션
신상,noun_low_freq,3664.0,,홍보단어
패션의류,noun_low_freq,1879.0,,카테고리
패션잡화,noun_low_freq,1710.0,,카테고리
화장품/미용,noun_low_freq,1448.0,,카테고리
여름,noun_low_freq,1343.0,,시즌
쿠폰,noun_low_freq,1334.0,,프로모션
식품,noun_low_freq,1294.0,,카테고리
선물,noun_low_freq,1230.0,,제품설명
세트,noun_low_freq,994.0,,제품설명
증정,noun_low_freq,931.0,,프로모션
가을,noun_low_freq,928.0,,시즌
이벤트,noun_low_freq,877.0,,프로모션
최대,noun_low_freq,844.0,,프로모션
피부,noun_low_freq,809.0,,제품설명
초특,noun_low_freq,741.0,,프로모션
겨울,noun_low_freq,723.0,,시즌
혜택,noun_low_freq,627.0,,프로모션
마지막,noun_low_freq,627.0,,프로모션
코디,noun_low_freq,621.0,,제품설명
인기,noun_low_freq,606.0,,홍보단어
추가,noun_low_freq,567.0,,프로모션
아이,noun_low_freq,557.0,,제품설명
구매,noun_low_freq,555.0,,제품설명
케어,noun_low_freq,548.0,,제품설명
특집,noun_low_freq,518.0,,프로모션
가구/인테리어,noun_low_freq,475.0,,카테고리
추석,noun_low_freq,469.0,,시즌
준비,noun_low_freq,468.0,,제품설명
무료,noun_low_freq,464.0,,프로모션
맛있다,adj_high_freq,242.0,,형용사
시원하다,adj_high_freq,203.0,,형용사
건강하다,adj_high_freq,173.0,,형용사
좋다,adj_high_freq,154.0,,형용사
특별하다,adj_high_freq,147.0,,형용사
따뜻하다,adj_high_freq,122.0,,형용사
간편하다,adj_high_freq,92.0,,형용사
편하다,adj_high_freq,81.0,,형용사
가볍다,adj_high_freq,79.0,,형용사
덥다,adj_high_freq,78.0,,형용사
달콤하다,adj_high_freq,75.0,,형용사
예쁘다,adj_high_freq,71.0,,형용사
맵다,adj_high_freq,68.0,,형용사
고소하다,adj_high_freq,65.0,,형용사
신선하다,adj_high_freq,56.0,,형용사
필요하다,adj_high_freq,51.0,,형용사
완벽하다,adj_high_freq,50.0,,형용사
든든하다,adj_high_freq,48.0,,형용사
소중하다,adj_high_freq,48.0,,형용사
건조하다,adj_high_freq,45.0,,형용사
마르다,adj_high_freq,43.0,,형용사
많다,adj_high_freq,42.0,,형용사
설레다,adj_high_freq,42.0,,형용사
가득하다,adj_high_freq,39.0,,형용사
강력하다,adj_high_freq,37.0,,형용사
쉽다,adj_high_freq,37.0,,형용사
하얗다,adj_high_freq,37.0,,형용사
편안하다,adj_high_freq,36.0,,형용사
더하다,adj_high_freq,35.0,,형용사
뜨끈하다,adj_high_freq,34.0,,형용사
예쁘다,adj_low_freq,456.0,,형용사
좋다,adj_low_freq,339.0,,형용사
시원하다,adj_low_freq,223.0,,형용사
맛있다,adj_low_freq,190.0,,형용사
특별하다,adj_low_freq,186.0,,형용사
건강하다,adj_low_freq,179.0,,형용사
따뜻하다,adj_low_freq,170.0,,형용사
편하다,adj_low_freq,165.0,,형용사
달콤하다,adj_low_freq,92.0,,형용사
가볍다,adj_low_freq,90.0,,형용사
덥다,adj_low_freq,83.0,,형용사
간편하다,adj_low_freq,82.0,,형용사
편안하다,adj_low_freq,80.0,,형용사
귀엽다,adj_low_freq,74.0,,형용사
마르다,adj_low_freq,73.0,,형용사
이쁘다,adj_low_freq,71.0,,형용사
필요하다,adj_low_freq,69.0,,형용사
많다,adj_low_freq,69.0,,형용사
건조하다,adj_low_freq,69.0,,형용사
쎄다,adj_low_freq,66.0,,형용사
다양하다,adj_low_freq,64.0,,형용사
촉촉하다,adj_low_freq,63.0,,형용사
하얗다,adj_low_freq,62.0,,형용사
신선하다,adj_low_freq,62.0,,형용사
부드럽다,adj_low_freq,53.0,,형용사
빠르다,adj_low_freq,52.0,,형용사
포근하다,adj_low_freq,49.0,,형용사
고소하다,adj_low_freq,45.0,,형용사
새롭다,adj_low_freq,45.0,,형용사
강력하다,adj_low_freq,44.0,,형용사
식품,noun_high_tfidf,,0.1601810199064923,카테고리
최대,noun_high_tfidf,,0.12155057890272251,프로모션
혜택,noun_high_tfidf,,0.08738113544166162,프로모션
앵콜,noun_high_tfidf,,0.07904111238704187,프로모션
특집,noun_high_tfidf,,0.070978970114455,프로모션
초특,noun_high_tfidf,,0.058452599150625215,프로모션
선물,noun_high_tfidf,,0.05654067531098231,제품설명
기념,noun_high_tfidf,,0.04988471145198746,프로모션
맞이,noun_high_tfidf,,0.045102042161611976,시즌
추석,noun_high_tfidf,,0.044849917954548325,시즌
증정,noun_high_tfidf,,0.04239499227598091,프로모션
미용,noun_high_tfidf,,0.041515102270717225,카테고리
디지털,noun_high_tfidf,,0.03766486807284376,카테고리
가전,noun_high_tfidf,,0.036485346314114535,카테고리
역대,noun_high_tfidf,,0.03635968161688927,홍보단어
재방송,noun_high_tfidf,,0.03530080737215933,홍보단어
특별,noun_high_tfidf,,0.035264345771898783,프로모션
푸드,noun_high_tfidf,,0.03395959285009687,카테고리
마지막,noun_high_tfidf,,0.03383277206179801,프로모션
대첩,noun_high_tfidf,,0.03338659170797974,홍보단어
강세,noun_high_tfidf,,0.03263940674254607,홍보단어
적립,noun_high_tfidf,,0.032393600321166185,프로모션
화장품,noun_high_tfidf,,0.031053087998414247,카테고리
런칭,noun_high_tfidf,,0.030854231435509933,홍보단어
가구,noun_high_tfidf,,0.03040667822354179,카테고리
인테리어,noun_high_tfidf,,0.029776620600805034,카테고리
오픈,noun_high_tfidf,,0.028589067277392154,홍보단어
출시,noun_high_tfidf,,0.026713894060778207,홍보단어
아이,noun_high_tfidf,,0.025606211667188614,제품설명
신제품,noun_high_tfidf,,0.022582672086111623,홍보단어
신상,noun_low_tfidf,,-0.30442256067786594,홍보단어
패션의류,noun_low_tfidf,,-0.17690036594559472,카테고리
패션잡화,noun_low_tfidf,,-0.1449324956092719,카테고리
코디,noun_low_tfidf,,-0.06134697422078503,제품설명
피부,noun_low_tfidf,,-0.05562880355836819,제품설명
가을,noun_low_tfidf,,-0.04501112528564734,시즌
쿠폰,noun_low_tfidf,,-0.03961132296667101,프로모션
생활,noun_low_tfidf,,-0.0309481830505427,카테고리
인기,noun_low_tfidf,,-0.02996739370094406,홍보단어
밍크,noun_low_tfidf,,-0.02964586646466168,제품설명
추천,noun_low_tfidf,,-0.026378812286741504,홍보단어
자정,noun_low_tfidf,,-0.026213527096413794,홍보단어
겨울,noun_low_tfidf,,-0.02434811958109387,시즌
탄력,noun_low_tfidf,,-0.023669326065189556,제품설명
추가,noun_low_tfidf,,-0.023375795330331482,프로모션
빈티,noun_low_tfidf,,-0.022652147371022457,제품설명
아이템,noun_low_tfidf,,-0.02000904979723157,제품설명
실버,noun_low_tfidf,,-0.018712906485650112,제품설명
여름,noun_low_tfidf,,-0.017946571753699347,시즌
발송,noun_low_tfidf,,-0.01767778601412113,홍보단어
진주,noun_low_tfidf,,-0.017488747050592477,제품설명
할인,noun_low_tfidf,,-0.017191520092576684,프로모션
건강,noun_low_tfidf,,-0.016211412584678092,카테고리
파티,noun_low_tfidf,,-0.016078635289155964,홍보단어
경추,noun_low_tfidf,,-0.014986458337007364,제품설명
모피,noun_low_tfidf,,-0.01494741588944172,제품설명
패션,noun_low_tfidf,,-0.01417941927657268,카테고리
용량,noun_low_tfidf,,-0.013747588273121822,제품설명
맛있다,adj_high_tfidf,,0.21488286720699107,형용사
시원하다,adj_high_tfidf,,0.10307315492153823,형용사
건강하다,adj_high_tfidf,,0.10123900434517444,형용사
맵다,adj_high_tfidf,,0.07904864456769775,형용사
간편하다,adj_high_tfidf,,0.06984032439111276,형용사
든든하다,adj_high_tfidf,,0.06771636933717104,형용사
고소하다,adj_high_tfidf,,0.06503542232034465,형용사
소중하다,adj_high_tfidf,,0.059224382466292344,형용사
뜨끈하다,adj_high_tfidf,,0.05044259111783577,형용사
완벽하다,adj_high_tfidf,,0.049560655253513525,형용사
위대하다,adj_high_tfidf,,0.04914605661015255,형용사
특별하다,adj_high_tfidf,,0.044896310878184104,형용사
덥다,adj_high_tfidf,,0.04286141831934469,형용사
올바르다,adj_high_tfidf,,0.041116330238083136,형용사
얇다,adj_high_tfidf,,0.03630516695152071,형용사
가볍다,adj_high_tfidf,,0.03620984324062412,형용사
뜨겁다,adj_high_tfidf,,0.0334172167364244,형용사
쉽다,adj_high_tfidf,,0.0329141478447823,형용사
설레다,adj_high_tfidf,,0.03241107895314021,형용사
푸르다,adj_high_tfidf,,0.028860718503580185,형용사
신선하다,adj_high_tfidf,,0.027848319504501687,형용사
화끈하다,adj_high_tfidf,,0.027688978161680068,형용사
달콤하다,adj_high_tfidf,,0.026421914108883365,형용사
좋아하다,adj_high_tfidf,,0.024925229865545705,형용사
작다,adj_high_tfidf,,0.024718226667275793,형용사
가득하다,adj_high_tfidf,,0.023250420632003492,형용사
놀랍다,adj_high_tfidf,,0.02279501359580969,형용사
진하다,adj_high_tfidf,,0.022416146623129542,형용사
따뜻하다,adj_high_tfidf,,0.01829627177909618,형용사
도톰하다,adj_high_tfidf,,0.017190976940027306,형용사
예쁘다,adj_low_tfidf,,-0.42252305034544146,형용사
좋다,adj_low_tfidf,,-0.12783137675448614,형용사
귀엽다,adj_low_tfidf,,-0.05112378499968243,형용사
편하다,adj_low_tfidf,,-0.05109490679161707,형용사
이쁘다,adj_low_tfidf,,-0.032761067717755,형용사
편안하다,adj_low_tfidf,,-0.030796454006634916,형용사
조용하다,adj_low_tfidf,,-0.029577051809286506,형용사
다양하다,adj_low_tfidf,,-0.027949904431192586,형용사
세련되다,adj_low_tfidf,,-0.025351758693674148,형용사
튼튼하다,adj_low_tfidf,,-0.023973015153504116,형용사
짧다,adj_low_tfidf,,-0.022718473532296037,형용사
화려하다,adj_low_tfidf,,-0.022381007199269873,형용사
영롱하다,adj_low_tfidf,,-0.021167866217715773,형용사
쾌적하다,adj_low_tfidf,,-0.02033359220884182,형용사
쎄다,adj_low_tfidf,,-0.019333715641351952,형용사
뽀얗다,adj_low_tfidf,,-0.01875530052869415,형용사
탄탄하다,adj_low_tfidf,,-0.018741584254607573,형용사
화사하다,adj_low_tfidf,,-0.01870018361495359,형용사
우아하다,adj_low_tfidf,,-0.01803151216469557,형용사
반하다,adj_low_tfidf,,-0.01694257310210341,형용사
원하다,adj_low_tfidf,,-0.016191100372537428,형용사
멀다,adj_low_tfidf,,-0.016149699732883445,형용사
촉촉하다,adj_low_tfidf,,-0.015694292696689642,형용사
아름답다,adj_low_tfidf,,-0.013723417769775245,형용사
애매하다,adj_low_tfidf,,-0.013640218566323019,형용사
붉다,adj_low_tfidf,,-0.012717279986491057,형용사
맑다,adj_low_tfidf,,-0.01259307806752911,형용사
야하다,adj_low_tfidf,,-0.01196580725692507,형용사
눈부시다,adj_low_tfidf,,-0.011504139004936957,형용사
매끈하다,adj_low_tfidf,,-0.011504139004936957,형용사
